Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Argentina,ARG,229175295598.69,438370549089.773,676108305567.019,717592820904.173,679563357320.268,759081580688.401,822381670751.028,828712221292.257,861613014898.661,853360083309.739,882358844160.449,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Australia,AUS,296290701971.527,505140641341.643,761529290801.168,796404910372.916,873246424499.714,862945239982.246,932989069866.557,968139392188.246,1051307321164.04,1077876758733.47,1082380307303.41,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Brazil,BRA,995936305195.057,1575642412028.69,2388516747891.11,2559422271456.7,2575606249481.36,2803343921946.06,2973103637563.73,3085867329173.58,3230729795842.68,3287194139257.87,3192398002509.33,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Canada,CAN,558170385268.104,898091195711.504,1296360953594.76,1339060588630.82,1302981028458.56,1362573339115.48,1427466965184.4,1464565119752.66,1556730114225.35,1600354130454,1588596446962.76,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,China,CHN,1112457442036.69,3681133749299.41,8970991068643.52,10027214316805.6,11036263788698.6,12358729118026.5,13810256092313.3,15154700204173.9,16585176195699.7,18082911784267.4,19524348171415.3,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,France,FRA,1024283788843.85,1582031574529.91,2178752995453.63,2262255465922.5,2251641686707.53,2333921539316.76,2438939000587.44,2459768394377.82,2583313691126.81,2604193431780.1,2650822573674.73,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Germany,DEU,1511824698058.12,2189334483611.13,3025574782522.86,3156208764604.49,3039630541598.05,3241594978408.72,3447162434101.29,3506575003150.35,3629021156703.7,3757092104907.1,3848271845005.92,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,India,IND,997733988118.857,2105369974080.9,4110917126733.92,4354649084301.92,4759789080197.7,5312239824950.85,5781843853973.66,6219188945289.34,6740178216705.5,7347139016552.62,7982527568328.37,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Indonesia,IDN,525047950735.179,973477182950.857,1635525273179.49,1767892938161.52,1863773890433.4,2003952398637.57,2171518784772.08,2344875011463.58,2515533756111.69,2685308944551.23,2842240508776.61,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Italy,ITA,1036422720424.74,1516950113961.02,1970069547932.56,2068988865000.81,2017653955574.83,2057787484353.52,2129983218994.55,2137462739530.74,2150823642361.82,2153114580119.12,2182579699549.98,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Japan,JPN,2375575224752.4,3290078835221.49,4264208076414.84,4289492989453.61,4079240941506.37,4323768300607.06,4388645064778.76,4558488478793.15,4662924630743.61,4650126624442.29,4738293560881.74,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Mexico,MEX,515305450442.22,1060833726505.08,1551984889081.85,1640914513653.6,1627727270426.99,1732191876993.81,1896258212126.06,1988482920347.72,2010628426359.08,2176312204135.92,2194431313647.83,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Russian Federation,RUS,1188234481173.78,1000581810053.81,2377503858194.35,2878201315078.6,2768121408249.49,2928121192873.6,3441692056998.75,3625384675192.99,3467891407358.79,3666104065188.06,3579826387384.51,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Saudi Arabia,SAU,373746313148.773,599266227158.889,1012419240817.53,1119270831360.42,1148399880067.28,1217779203046.65,1366703554588.84,1466824185146.36,1530536096575.66,1612284653933.33,1685203505623.79,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,South Africa,ZAF,235786488778.168,346205491128.479,552490131613.817,581303885264.46,576709636308.329,601497899166.693,633638364273.928,659635062318.106,685219086698.954,707261202568.295,723515991686.16,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Korea, Rep.",KOR,361655817840.315,850051490863.897,1354518051058.72,1405710904231.6,1396413622348.57,1505298908340.89,1559446833866.66,1611272797666.7,1640376823281.64,1685033240564.16,1748776398234.22,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Turkey,TUR,239670853658.537,589455815047.465,975634457486.15,1067944015010.22,1044056564108.8,1168956617300.53,1308343501953.37,1380911364460.4,1451517642362.79,1503215796524.71,1543283930048.42,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,United Kingdom,GBR,998758999282.977,1616069350343.8,2299790051054.01,2334813464998.47,2264482548392.01,2252044584908.36,2314653891010.54,2393176654206.49,2508133965758.27,2598558036046.24,2691808537206.82,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,United States,USA,5979589000000,10284779000000,14477635000000,14718582000000,14418739000000,14964372000000,15517926000000,16155255000000,16663160000000,17348071500000,17946996000000,..
